Aldebaran,alTau № 1
Algol,bePer № 2
Antares,alSco № 3
Regulus,alLeo № 4
Sirius,alCMa № 5
Spica,alVir № 6
Gal. Center,SgrA* № 7
Great Attractor,GA № 8
Virgo Cluster,VC № 9
Andromeda Galaxy,M31 № 10
Praesepe Cluster,M44 № 11
Praesepe Cluster,M44 № 12
Deneb,alCyg № 13
Rigel,beOri № 14
Mira,omiCet № 15
Ain,epTau № 16

До 16 повтояются потом
*******************

# Andromeda  Андромеда

Alpheratz,alAnd № 17
Sirrah,alAnd № 18
Mirach,beAnd № 19
Almaak,ga-1And № 20
Almak,ga-1And № 21
Almac,ga-1And № 22
Almach,ga-1And № 23
,deAnd № 24
,epAnd № 25
,zeAnd № 26
,ioAnd № 27
,kaAnd № 28
,laAnd № 29
,muAnd № 30
,nuAnd № 31
Adhil,xiAnd № 32
,omiAnd № 33
,piAnd № 34
,rhAnd № 35
,siAnd № 36
,upAnd № 37
,psAnd № 38
,omeAnd № 39
Andromeda,M31 № 40

# Antila

,alAnt № 41
,epAnt № 42
,thAnt № 43
,ioAnt № 44

# Apus     Райская птица

,alAps № 45
,gaAps № 46
,de-1Aps № 47
,thAps № 48
,ioAps № 49
,ka-1Aps № 50

# Aquila  Орел

Altair,alAql № 51
Alshain,beAql № 52
Tarazed,gaAql № 53
Deneb Okab,deAql № 54
,epAql № 55
Dheneb,zeAql № 56
,etAql № 57
,thAql № 58
Al Thalimaim,ioAql № 59
,kaAql № 60
Al Thalimaim,laAql № 61
,muAql № 62
,rhAql № 63
,taAql № 64
,ome-1Aql № 65

# Aquarius    Водолей

Sadalmelek,alAqr № 66
Sadalmelik,alAqr № 67
Sadalsuud,beAqr № 68
Sadalachbia,gaAqr № 69
Skat,deAqr № 70
Albali,epAqr № 71
,etAqr № 72
Ancha,thAqr № 73
,ioAqr № 74
Situla,kaAqr № 75
,laAqr № 76
,muAqr № 77
,nuAqr № 78
Seat,piAqr № 79
,siAqr № 80
,ta-2Aqr № 81
,phAqr № 82
,xiAqr № 83
,upAqr № 84
,ps-1Aqr № 85
,ps-3Aqr № 86
,ome-2Aqr № 87

Ara,alAra № 88
,beAra № 89
,deAra № 90
,ep-1Ara № 91
,zeAra № 92
,etAra № 93
,thAra № 94
,muAra № 95

# Aries Овен

Hamal,alAri № 96
Sheratan,beAri № 97
Mesarthim,gaAri № 98
Botein,deAri № 99
,zeAri № 100
,thAri № 101
,nuAri № 102
,siAri № 103
,ta-1Ari № 104

# Auriga   Возничий

Capella,alAur № 105
Menkalinan,beAur № 106
Prijipati,deAur № 107
Maaz,epAur № 108
Al Anz,epAur № 109
Haedi,zeAur № 110
Haedus,zeAur № 111
Hoedus I,zeAur № 112
Sadatoni,zeAur № 113
Hoedus II,etAur № 114
Hasseleh,ioAur № 115
Al Khabdhilinan,ioAur № 116
,kaAur № 117
,laAur № 118
,muAur № 119
,nuAur № 120
,xiAur № 121
,omiAur № 122
,chAur № 123
,ps-1Aur № 124
,ps-5Aur № 125
,ps-6Aur № 126

# Bootes    Волопас

Arcturus,alBoo № 127
Nekkar,beBoo № 128
Seginus,gaBoo № 129
Haris,gaBoo № 130
Princeps,deBoo № 131
Izar,epBoo № 132
Mirak,epBoo № 133
Pulcherrima,epBoo № 134
Mufrid,etBoo № 135
Muphrid,etBoo № 136
Asellus Primus,thBoo № 137
Asellus Secundus,ioBoo № 138
Asellus Tertius,ka-2Boo № 139
,laBoo № 140
Alkalurops,mu-1Boo № 141
,nu-1Boo № 142
,rhBoo № 143
,siBoo № 144
,taBoo № 145
Ceginus,phBoo № 146
,psBoo № 147
Merga,38Boo № 148

# Caelum  Резец

,alCae № 149
,beCae № 150
,deCae № 151

# Camelopardalis    Жираф

,alCam № 152
,beCam № 153
,gaCam № 154

# Capricornus Козерог

Algedi,al-1Cap № 155
Giedi Prima,al-1Cap № 156
Algedi,al-2Cap № 157
Giedi Secunda,al-2Cap № 158
Dabih,beCap № 159
Nashira,gaCap № 160
Deneb Algedi,deCap № 161
Castra,epCap № 162
,zeCap № 163
Armus,etCap № 164
Dorsum,thCap № 165
,ioCap № 166
,laCap № 167
,muCap № 168
Alshat,nuCap № 169
Oculus,piCap № 170
Bos,roCap № 171
,psCap № 172
,upCap № 173
,omeCap № 174

# Carina Киль

Canopus,alCar № 175
Miaplacidus,beCar № 176
Avior,epCar № 177
Foramen,etCar № 178
,thCar № 179
Scutulum,ioCar № 180
Tureis,ioCar № 181
Aspidiske,ioCar № 182
,chCar № 183
,omeCar № 184

# Cassiopeia Кассиопея

Schedar,alCas № 185
Shedir,alCas № 186
Caph,beCas № 187
Tsih,gaCas № 188
Cih,gaCas № 189
Ruchbah,deCas № 190
Rucha,deCas № 191
Segin,epCas № 192
,zeCas № 193
Achird,etCas № 194
,kaCas № 195
Marfak,muCas № 196
,omiCas № 197
,rhCas № 198
,psCas № 199

# Centaurus Центавр

Rigil Kent,alCen № 200
Rigel Kentaurus,alCen № 201
Toliman,alCen № 202
Bungula,alCen № 203
Hadar,beCen № 204
Agena,beCen № 205
Muhlifain,gaCen № 206
,deCen № 207
,epCen № 208
,zeCen № 209
,etCen № 210
Menkent,thCen № 211
,ioCen № 212
Ke Kwan,kaCen № 213
,laCen № 214
,muCen № 215
,xi-2Cen № 216
,piCen № 217
,siCen № 218
,psCen № 219
Proxima Cent.,V645 Cen № 220

# Cepheus     Цефей

Alderamin,alCep № 221
Alphirk,beCep № 222
Alfirk,beCep № 223
Alrai,gaCep № 224
Errai,gaCep № 225
,deCep № 226
Kurhah,zeCep № 227
,etCep № 228
,thCep № 229
,ioCep № 230
,kaCep № 231
Erakis,muCep № 232
The Garnet Star,muCep № 233
,nuCep № 234
Kurdah,xiCep № 235
Alkurhah,xiCep № 236
Al Kalb al Rai,rhCep № 237

# Cetus   Кит

Menkar,alCet № 238
Diphda,beCet № 239
Difda,beCet № 240
Kaffaljidhma,gaCet № 241
,deCet № 242
Baten Kaitos,zeCet № 243
Deneb Algenubi,etCet № 244
,thCet № 245
Deneb Kaitos,ioCet № 246
Shemali,ioCet № 247
,ka-1Cet № 248
Menkar,laCet № 249
,muCet № 250
,nuCet № 251
,xi-1Cet № 252
,xi-2Cet № 253
Mira,omiCet № 254
,piCet № 255
,rhCet № 256
,siCet № 257
,taCet № 258
,upCet № 259
,ph-2Cet № 260
,chCet № 261

# Chameleon  Хамелеон

,beCha № 262
,gaCha № 263
,de-2Cha № 264
,etCha № 265
,thCha № 266
,piCha № 267

# Circinus    Циркуль

,alCir № 268
,beCir № 269

# Canis Major Большая собака

Sirius,alCMa № 270
Mirzam,beCMa № 271
Murzim,beCMa № 272
Muliphein,gaCMa № 273
Isis,gaCMa № 274
Wezen,deCMa № 275
Adara,epCMa № 276
Adhara,epCMa № 277
Furud,zeCMa № 278
Aludra,etCMa № 279
,kaCMa № 280
,xi-2CMa № 281
,omi-2CMa № 282
,siCMa № 283
,thCMa № 284

# Canis Minor Малая собака

Procyon,alCMi № 285
Gomeisa,beCMi № 286
,zeCMi № 287

# Cancer  Рак

Acubens,alCnc № 288
Al Tarf,beCnc № 289
Asellus Borealis,gaCnc № 290
Asellus Australis,deCnc № 291
Tegmen,zeCnc № 292
Tegmine,zeCnc № 293
,etCnc № 294
,ioCnc № 295
,kaCnc № 296
,xiCnc № 297
,si-3Cnc № 298
,chCnc № 299

# Columba   Голубь

,ome-1Cnc № 300
Phact,alCol № 301
Wazn,beCol № 302
,gaCol № 303
,etCol № 304
,kaCol № 305
Tsze,laCol № 306
,omiCol № 307

# Coma Berenices Волосы Вероники

Diadem,alCom № 308
Aldafirah,beCom № 309
Kissin,gaCom № 310

# Corona Australis    Южная корона

Alfecca Meridiana,alCrA № 311
,et-1CrA № 312
,thCrA № 313

# Corona Borealis   Северная Корона

Alphecca,alCrB № 314
Alphekka,alCrB № 315
Gemma,alCrB № 316
Nusakan,beCrB № 317
,epCrB № 318
,thCrB № 319
,kaCrB № 320
The Blaze Star,taCrB № 321

# Crater  Чаша

Alkes,alCrt № 322
Alsharasif,beCrt № 323
,gaCrt № 324
Labrum,deCrt № 325
,etCrt № 326
,thCrt № 327
,zeCrt № 328

# Crux   Южный крест

Acrux,al-1Cru № 329
Mimosa,beCru № 330
Gacrux,gaCru № 331
,deCru № 332

# Corvus   Ворон

Alchiba,alCrv № 333
Alchita,alCrv № 334
Kraz,beCrv № 335
Gienah,gaCrv № 336
Algorab,deCrv № 337
Minkar,epCrv № 338

# Canis Venatici Гончих псов

Cor Caroli,al-2CVn № 339
Asterion,beCVn № 340
Chara,beCVn № 341
# Cygnus
Deneb,alCyg № 342
Albireo,be-1Cyg № 343
Sador,gaCyg № 344
Sadir,gaCyg № 345
Sadr,gaCyg № 346
Gienah Cygni,epCyg № 347
,zeCyg № 348
,etCyg № 349
,thCyg № 350
,io-2Cyg № 351
,kaCyg № 352
,nuCyg № 353
,xiCyg № 354
Azelfafage,pi-1Cyg № 355
,pi-2Cyg № 356
,rhCyg № 357
,siCyg № 358
,upCyg № 359
Ruchbah,ome-1Cyg № 360
Ruchbah,ome-2Cyg № 361
,61Cyg № 362

# Delphinus   Дельфин

Sualocin,alDel № 363
Rotanev,beDel № 364
,ga-2Del № 365
,deDel № 366
Deneb Dulphim,epDel № 367
,kaDel № 368

# Dorado   Золотая рыбка

,alDor № 369
,beDor № 370
,gaDor № 371
,deDor № 372
,zeDor № 373
,thDor № 374
,nuDor № 375

# Draco   Дракон

Thuban,alDra № 376
Rastaban,beDra № 377
Eltanin,gaDra № 378
Etamin,gaDra № 379
Nodus II,deDra № 380
Altais,deDra № 381
Tyl,epDra № 382
Nodus I,zeDra № 383
Aldhibah,zeDra № 384
,thDra № 385
Edasich,ioDra № 386
Ed Asich,ioDra № 387
,kaDra № 388
Giansar,laDra № 389
Gianfar,laDra № 390
Arrakis,muDra № 391
Kuma,nu-1Dra № 392
Kuma,nu-2Dra № 393
Grumium,xiDra № 394
,omiDra № 395
Alsafi,siDra № 396
Athafi,siDra № 397
,taDra № 398
,upDra № 399
,chDra № 400
Dziban,ps-1Dra № 401
Alathfar,omeDra № 402
Al Athfar,omeDra № 403

# Equuleus  Малый конь

Kitalpha,alEqu № 404
,gaEqu № 405

# Eridanus Эридан

Achernar,alEri № 406
Cursa,beEri № 407
Zaurak,gaEri № 408
Rana,deEri № 409
,epEri № 410
Azha,etEri № 411
Acamar,th-1Eri № 412
Zibal,zeEri № 413
,ioEri № 414
,kaEri № 415
,laEri № 416
,muEri № 417
,nuEri № 418
,xiEri № 419
Beid,omi-1Eri № 420
Keid,omi-2Eri № 421
,phEri № 422
